地区,新增确诊,累计确诊,治愈,死亡
湖北,126,67592,41966,2931
广东,1,1351,1209,7
河南,0,1272,1242,22
浙江,0,1215,1153,1
湖南,0,1018,952,4
安徽,0,990,970,6
江西,0,935,908,1
山东,0,758,602,6
江苏,0,631,588,-
重庆,0,576,513,6
四川,0,539,428,3
黑龙江,0,481,380,13
北京,4,422,298,8
上海,1,339,306,3
河北,0,318,305,6
福建,0,296,278,1
广西,0,252,217,2
陕西,0,245,224,1
云南,0,174,170,2
海南,0,168,158,6
贵州,0,146,114,2
天津,0,136,128,3
山西,0,133,126,-
辽宁,0,125,106,1
香港,0,104,46,2
甘肃,11,102,87,2
吉林,0,93,89,1
新疆,0,76,70,3
宁夏,0,75,69,-
内蒙古,0,75,65,1
台湾,2,44,12,1
青海,0,18,18,-
澳门,0,10,9,-
西藏,0,1,1,-
